ticker,super_score_4d,tier,vcp_score,insiders_score,sector_score,institutional_score,num_whales,top_whales,entry_price,entry_date,snapshot_id,return_7d,exit_price_7d
BLND,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.9900000095367432,2026-02-08,20260208_183944,,
ZIVO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,10.25,2026-02-08,20260208_183944,,
FAST,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,47.72999954223633,2026-02-08,20260208_183944,,
ACVA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,7.369999885559082,2026-02-08,20260208_183944,,
UPXI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.1399999856948853,2026-02-08,20260208_183944,,
QNTO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,13.619999885559082,2026-02-08,20260208_183944,,
STAA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,17.579999923706055,2026-02-08,20260208_183944,,
DLHC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.869999885559082,2026-02-08,20260208_183944,,
SUNS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,9.300000190734863,2026-02-08,20260208_183944,,
MYSZ,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.6480000019073486,2026-02-08,20260208_183944,,
ULBI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,6.340000152587891,2026-02-08,20260208_183944,,
QDEL,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,29.100000381469727,2026-02-08,20260208_183944,,
GRND,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,10.229999542236328,2026-02-08,20260208_183944,,
LUCK,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,6.630000114440918,2026-02-08,20260208_183944,,
BWFG,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,50.400001525878906,2026-02-08,20260208_183944,,
RPD,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,10.8100004196167,2026-02-08,20260208_183944,,
LIFE,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,12.789999961853027,2026-02-08,20260208_183944,,
ASST,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,11.914999961853027,2026-02-08,20260208_183944,,
IPSC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.7000000476837158,2026-02-08,20260208_183944,,
ELAN,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,25.200000762939453,2026-02-08,20260208_183944,,
PARK,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,17.200000762939453,2026-02-08,20260208_183944,,
J,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,148.80999755859375,2026-02-08,20260208_183944,,
PEBO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,34.18000030517578,2026-02-08,20260208_183944,,
IOR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,18.0,2026-02-08,20260208_183944,,
PHIO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.9200000166893004,2026-02-08,20260208_183944,,
ADMQ,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.0285000000149011,2026-02-08,20260208_183944,,
AISP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.7300000190734863,2026-02-08,20260208_183944,,
MMLP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.819999933242798,2026-02-08,20260208_183944,,
LAB,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.2599999904632568,2026-02-08,20260208_183944,,
MSBI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,23.979999542236328,2026-02-08,20260208_183944,,
LBRA,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.0052000000141561,2026-02-08,20260208_183944,,
AP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,6.789999961853027,2026-02-08,20260208_183944,,
EONR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.4020000100135803,2026-02-08,20260208_183944,,
GLOO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.099999904632568,2026-02-08,20260208_183944,,
IP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,46.58000183105469,2026-02-08,20260208_183944,,
CBK,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,26.790000915527344,2026-02-08,20260208_183944,,
AIG,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,76.72000122070312,2026-02-08,20260208_183944,,
AMTB,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,23.21999931335449,2026-02-08,20260208_183944,,
RLI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,61.720001220703125,2026-02-08,20260208_183944,,
VIRC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,6.5,2026-02-08,20260208_183944,,
INTZ,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.9200000166893004,2026-02-08,20260208_183944,,
PMCB,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.7411999702453613,2026-02-08,20260208_183944,,
LSAK,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,4.369999885559082,2026-02-08,20260208_183944,,
BFLY,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.380000114440918,2026-02-08,20260208_183944,,
DOMH,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.7300000190734863,2026-02-08,20260208_183944,,
IMMX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,6.739999771118164,2026-02-08,20260208_183944,,
TBRG,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,20.25,2026-02-08,20260208_183944,,
NFJ,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,13.5600004196167,2026-02-08,20260208_183944,,
PW,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.8799999952316284,2026-02-08,20260208_183944,,
USAR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,21.84000015258789,2026-02-08,20260208_183944,,
BDSX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,10.380000114440918,2026-02-08,20260208_183944,,
TCI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,55.0,2026-02-08,20260208_183944,,
PALI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.6399999856948853,2026-02-08,20260208_183944,,
MYNZ,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.9449999928474426,2026-02-08,20260208_183944,,
LMNR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,14.449999809265137,2026-02-08,20260208_183944,,
INDV,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,34.36000061035156,2026-02-08,20260208_183944,,
FKYS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,19.25,2026-02-08,20260208_183944,,
BNTC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,12.119999885559082,2026-02-08,20260208_183944,,
GALT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.799999952316284,2026-02-08,20260208_183944,,
NSPR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.7400000095367432,2026-02-08,20260208_183944,,
ANVS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.490000009536743,2026-02-08,20260208_183944,,
SPT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,8.0,2026-02-08,20260208_183944,,
LTC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,37.38999938964844,2026-02-08,20260208_183944,,
CHUC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.2750000059604645,2026-02-08,20260208_183944,,
ICU,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.4800000190734863,2026-02-08,20260208_183944,,
IAUX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.8799999952316284,2026-02-08,20260208_183944,,
KVHI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.949999809265137,2026-02-08,20260208_183944,,
